Country,Year,Rank,Total,Percentile,Decision,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention,Personal Safety,Environmental Quality,Tolerance and Inclusion,Press Freedom Index,Tolerance for immigrants,Discrimination and violence against minorities
Mauritania,2017,28th,93.7,84.7,Alert,6.9,8.8,7,7.7,6.8,6.9,8,9,7.9,8.7,8,8,2,5.9,5.5,2.4,4.7,7.2
"Congo, Democratic Republic of",2017,29th,93.4,84.1,Alert,7.2,6.7,7.2,7,8.1,7.4,8.9,9.5,8.5,8.1,7.7,7.1,2.9,5.1,5.1,5.1,7.1,9.7
"Korea, Democratic Republic of",2017,30th,93.3,83.6,Alert,8.3,8.5,5.8,8.9,7.5,4.4,10,8.6,9.4,7.7,4.4,9.8,0.2,,,8.4,,6
Mali,2017,31st,92.9,83,Alert,9,4.9,7.4,7.7,7.4,8.5,6.1,8.8,7.3,8.5,7.9,9.4,0.6,5.2,5.2,4,8.6,7.9
Angola,2017,32nd,91.1,82.4,Alert,6.5,7.2,7.5,6.4,9.9,6.6,8.6,9.1,7.3,9.5,7.1,5.4,4.6,5.9,5.3,4,5.6,7.7
Nepal,2017,33rd,91,81.9,Alert,6.5,8.8,9.4,7.5,6.7,6.5,7.4,7.2,7.7,8.6,7.8,6.9,3.1,4.9,3.8,3.3,8,9.5
Rwanda,2017,34th,90.8,81.3,Alert,6.2,8,9.4,6,8.3,7.4,7.1,7.4,7.2,8,8.3,7.5,2.5,4.2,5.8,5.5,6.9,9.1
Timor-Leste,2017,35th,90.5,80.7,Alert,7.2,8.3,6.5,7.9,6.8,7.6,6.9,8.5,5.3,9.7,6.3,9.5,0.5,,,3.2,,6.7
Egypt,2017,36th,89.8,80.2,Alert,8.1,8.8,8.8,8.2,6,4.7,8.2,4.9,9.8,7.1,7.3,7.9,2.1,4.1,6.5,5.4,4.5,9
"Gambia, The",2017,37th,89.4,79.6,Alert,6.3,7.8,3.8,8.4,6.9,8.3,8.6,7.8,9.4,8.3,6.8,7,3,6.6,,4.7,,3.4
Sierra Leone,2017,38th,89.3,79,Alert,4.3,7.8,6.2,8.6,8.3,8.5,6.9,8.8,5.3,9,7.7,7.9,2.1,4.5,5,3,7.1,5.9
Bangladesh,2017,39th,89.1,78.5,Alert,7.6,9.3,8.7,5.8,6.7,7.8,7.8,8.1,7.4,7.5,6.6,5.8,4.2,5.1,5.8,4.6,7.2,8.9
Mozambique,2017,40th,89,77.9,Alert,6.7,6.6,5.4,8,8.8,8,6.5,9.7,5.6,9.9,5.8,8,2,4.4,4.6,3,6.7,5.6
Djibouti,2017,41st,88.9,77.4,Alert,6.5,7.3,6.5,7,7.9,5.4,8.2,7.9,7.8,8.4,7.3,8.7,1.3,6,6,7.1,5.6,6.7
Swaziland,2017,42nd,88.8,76.8,Alert,6.3,6.8,3.4,9.7,8.2,7.2,8.8,8.1,9.1,9.4,4.7,7.1,2.9,4.7,4.2,5.2,5.5,3.4
Lebanon,2017,43rd,88.2,76.2,Alert,8.7,9.3,8.5,6.4,5.6,5,7.6,5.7,7.4,5.6,9.3,9.1,0.9,3.1,6.6,3.2,4.8,8.7
Burkina Faso,2017,44th,88,75.1,Alert,8.4,7.8,4.5,6.3,8.2,7.5,7.1,8.7,6.1,9.3,6.6,7.5,2.5,4.6,4.4,2.3,7.8,4.7
Malawi,2017,44th,88,75.1,Alert,4.8,8.1,5.6,8.4,8.3,7.9,6.4,8.6,6.2,9.7,5.8,8.2,1.8,4.1,5.9,2.8,4.7,5.1
Zambia,2017,46th,87.8,74.5,Warning,4.6,6.2,5.9,7.9,9.2,7.9,7.7,7.9,7.4,9.5,6.4,7.2,2.8,4.5,5.1,3.5,5.6,5.4
Sri Lanka,2017,47th,86.6,74,Warning,7.4,8.8,9,5.4,7.1,7.7,6.9,5.1,8.3,6.2,8.4,6.3,3.7,3.1,6.6,4.5,5.5,9.2
Papua New Guinea,2017,48th,86.4,73.4,Warning,7.2,7.1,6.3,6.1,9.1,7.4,6.8,9,7.6,7.8,5.2,6.8,3.2,5.4,,2.6,,6.5
Iran,2017,49th,85.8,72.8,Warning,7.5,9.6,9.3,6.4,5.6,6.5,9,4.5,9.5,4.9,6.5,6.5,3.5,4.4,7.4,6.7,4.9,8.8
Cambodia,2017,50th,85.7,72.3,Warning,6.7,8.3,6.9,5.7,6.6,7.6,8.3,7.8,7.7,7,5.7,7.4,2.6,4.2,5.9,4.1,1.7,7.1
Equatorial Guinea,2017,51st,85,71.7,Warning,6.5,8.2,6.3,6.5,8.7,5.5,9.8,7.9,9.2,7.5,3.9,5,5,4.6,,6.6,,6.3
Comoros,2017,52nd,84.8,70.6,Warning,6.7,8,5.4,8,7.5,7.4,7.3,8.2,6.3,7.3,4.7,8,,3.2,5,2.4,6.5,5
Solomon Islands,2017,52nd,84.8,70.6,Warning,5.9,8.2,6.5,7.1,9,6.9,6.8,7.7,5.2,8.5,4.4,8.6,,4.4,,,,6.5
Philippines,2017,54th,84.4,70,Warning,9.7,8,7.9,5.5,5.7,6.5,7,6.7,6.6,7.5,6.9,6.4,3.6,3.6,4.5,4.5,6,8.1
Madagascar,2017,55th,84,69.4,Warning,7.1,7.8,4.1,7.6,9.1,6.7,7.1,9.1,5.6,9.1,3.9,6.8,3.2,5,4.7,2.7,5.6,4.3
Togo,2017,56th,83.9,68.9,Warning,6.5,7.6,4.6,6.4,8.2,7.5,7.8,8.2,6.7,7.8,6.6,6,4,4.7,5.2,3,6.9,4.8
Guatemala,2017,57th,83.1,68.3,Warning,7.6,7.1,8.5,5.5,8.1,7.3,6.5,7.5,7.2,7,5.6,5.2,4.8,3.2,5.2,3.8,4.5,8.2
Venezuela,2017,58th,82.9,67.7,Warning,7.3,8.2,7.2,7.3,6.7,5.5,8.5,7.7,8.9,5.6,4.6,5.4,,,,4.5,6.3,7.4
Laos,2017,59th,82.4,67.2,Warning,5.5,8.3,6.6,5.2,6.6,7.7,9.1,7,7.9,7.3,5.1,6.1,3.9,3.9,4.9,7.2,6.3,6.6
Senegal,2017,60th,82.3,66.6,Warning,6.2,6.6,6.4,7.4,7.4,8,4.7,7.5,6,8.1,7.3,6.7,3.3,4.3,4.3,2.8,8.2,6.6
Tajikistan,2017,61st,81.8,66.1,Warning,6.7,8.4,7.4,7.3,4.8,6.2,9.1,5.6,8.2,7.9,4.3,5.9,4.1,4.6,5.3,5,4,7.6
Lesotho,2017,62nd,81.7,65.5,Warning,6.2,7.3,3.9,8.1,8.1,8,5.9,8.1,5,8.5,4.8,7.8,2.2,5.6,3.9,2.9,6.6,4.1
Uzbekistan,2017,63rd,81.5,64.9,Warning,7.1,8.8,7.1,6.3,6.9,6,9.5,4.9,9.2,5.6,5.5,4.6,5.4,6.5,4.4,6.1,7.2,7.3
Turkey,2017,64th,80.8,64.4,Warning,8.3,9.1,10,4.6,5.7,3.9,7.6,4.4,7.7,4.9,9.2,5.4,4.6,3.9,5.8,5.1,5.6,9.5
Kyrgyzstan,2017,65th,80.3,63.2,Warning,6.5,8,8.4,7,5.9,7,7.7,5.1,7.5,5.5,5.3,6.4,3.6,4.8,5.5,3,5.4,8.6
Tanzania,2017,65th,80.3,63.2,Warning,5.5,5.7,5.2,6.2,7.1,7.6,5.9,8.6,5.9,8.7,6.7,7.2,2.8,3.8,5.7,2.9,5.1,5.4
Russia,2017,67th,79.2,62.7,Warning,8.9,8.1,8.8,5.2,6.2,4,8.5,4.2,9.2,4.6,5.8,5.7,4.3,3.1,6.4,4.9,3.9,9
Honduras,2017,68th,79.1,62.1,Warning,7.3,6.8,5.9,6.4,7.7,6.4,6.8,6.8,6.9,6.3,4.3,7.5,2.5,4,4.3,4.5,5.5,6.1
Colombia,2017,69th,78.9,61,Warning,6.9,7.6,7.3,4.2,7.6,6.2,6.3,5.9,7,6.2,7.7,6,4,2.7,4.2,4.4,6.6,7
Israel,2017,69th,78.9,61,Warning,6.9,8.1,10,3.8,6.8,3.8,6.4,4.8,7.5,6,7.3,7.5,2.5,1.6,6.7,3.3,3.1,9.8
Jordan,2017,71st,78.7,60.4,Warning,5.7,6.9,8,6.4,5.4,4.2,6.3,4.2,7.9,6.5,9.6,7.6,2.4,3.8,6,4.4,5.1,7.7
India,2017,72nd,77.9,59.8,Warning,7.4,7.3,8.3,5.1,7,6.1,4.7,7.4,6,7.9,5.3,5.4,4.6,5.3,7.4,4.3,3.8,8.5
Benin,2017,73rd,77.6,59.3,Warning,6.2,6.7,3.4,6.6,7.6,7.4,5.4,8.7,5.2,8.3,5.5,6.6,3.4,4.7,4.7,2.9,7.8,3.6
Nicaragua,2017,74th,77.4,58.7,Warning,5.6,7.1,6.5,5.7,8,8.1,7.9,6.7,5.2,5.3,4,7.3,2.7,3.2,4.1,2.9,5.8,6.7
Ecuador,2017,75th,77.3,58.1,Warning,6.8,8.2,7.3,6,6.7,5.8,6.5,6.5,5,6.5,5.7,6.3,3.7,2.9,4,3.3,7.1,7.5
Fiji,2017,76th,76.9,57.6,Warning,7.1,7.9,6.9,6.5,6.3,8.2,6.9,5,6.9,4.9,3.1,7.2,,3.6,,2.9,,7.1
Algeria,2017,77th,76.8,56.4,Warning,7.2,7.1,7.1,6.6,6.6,5.8,6.9,6,6.6,5.2,6.8,4.9,5.1,3,6.1,4.2,4.9,7.9
Bolivia,2017,77th,76.8,56.4,Warning,6.5,8,6,5.4,8.6,7,6.5,6.8,6,6.3,3.9,5.8,4.2,3.9,4,3.2,6.8,6.2
Georgia,2017,79th,76.5,55.9,Warning,6.8,9.1,7.9,5.5,5.5,4.9,8.3,4.3,5.6,3.7,7.5,7.4,2.6,4.1,7.4,2.8,4.3,8.1
Micronesia,2017,80th,76.4,55.3,Warning,4.6,5.6,4,8.8,8.3,9.8,5.5,6,3.3,7.1,3.9,9.5,0.5,,,,,4
Azerbaijan,2017,81st,76.3,54.8,Warning,6.2,7.9,6.5,4.1,5.9,4.3,8.8,5.4,8.5,4.6,7.7,6.4,3.6,4.1,6,5.8,5.3,6.7
Thailand,2017,82nd,76.2,54.2,Warning,9,9.4,8.5,3.3,5.3,4.7,7.5,4.4,8,6.4,5.9,3.8,6.2,3.3,6.2,4.5,2.3,9
Bhutan,2017,83rd,76,53.6,Warning,4.5,7.5,7.9,4.7,6.1,7.2,4.3,6.1,6.6,6.1,7,8,2,3.4,5.2,3.1,6,7.6
Morocco,2017,84th,74.9,53.1,Warning,5.8,6.6,7.7,4.8,6.2,8.2,6.7,5.2,6.8,4.8,6.1,6,4,3,5.7,4.3,5.7,7.4
China,2017,85th,74.7,52.5,Warning,5.9,7.2,7.9,4.4,7.3,4.9,8.6,5.7,8.5,6.7,4.9,2.7,7.3,4.2,6.2,8.1,4,8.1
Turkmenistan,2017,86th,74.4,51.4,Warning,6.3,7.8,6.6,4.9,6.7,5.1,9.7,5.6,8.7,5.4,3.5,4.1,5.9,6.5,4,8.3,7.2,6.8
Maldives,2017,86th,74.4,51.4,Warning,6.4,8,4.8,5.9,3.6,6.2,8.5,5.6,8.2,6,4.7,6.5,,,,3.4,,4.8
Mexico,2017,88th,74.3,50.8,Warning,8.4,5.4,7.2,4.9,6.1,5.8,6.5,6.8,6.5,6.1,5.1,5.5,4.5,2.5,4.7,4.9,5.1,6.7
Tunisia,2017,89th,74.2,50.2,Warning,8.3,7.8,7.7,6.7,4.9,6.1,6.5,4.4,6.5,4.2,4.7,6.4,3.6,2.9,6.3,3.2,6.1,7.9
Ukraine,2017,90th,74,49.7,Stable,7.6,8,6.7,6.8,4.2,5.2,8.2,3.7,6.2,4.2,4.6,8.6,1.4,5,5.9,3.3,3.7,6.9
Gabon,2017,91st,73.8,49.1,Stable,5.2,7.4,3.8,5.5,6.5,6.1,8.2,6.7,7.5,6.7,4.5,5.7,4.3,3.6,4.3,3.2,6.2,4
El Salvador,2017,92nd,73.1,48.5,Stable,7.3,4.3,6.7,5.4,6.4,7.9,4.8,6.4,6.3,6.9,4.8,5.9,4.1,3.3,4.8,2.7,4.3,6.2
Bosnia and Herzegovina,2017,93rd,73,48,Stable,5.7,8.7,7,5.7,5.1,5.5,6.5,3.6,5.6,3.8,7.6,8.2,1.8,5,5.7,2.8,4.8,7
Indonesia,2017,94th,72.9,47.4,Stable,6.2,7,7.1,4.5,5.8,6.9,5.1,5.9,7.2,6.6,5.4,5.2,4.8,3.4,6.5,4.2,3.2,7.3
Belarus,2017,95th,72.4,46.8,Stable,6.1,8.3,7.1,6,4.7,3.4,8.7,4.2,7.9,5.1,3.6,7.3,2.7,4.4,5.2,5.4,3.9,7.1
South Africa,2017,96th,72.3,46.3,Stable,6.1,6.1,6.7,7.1,7.5,5.5,6.5,7,4.2,7.2,5.4,3,7,3.9,3.9,2.2,6.4,6.3
Sao Tome and Principe,2017,97th,72.1,45.7,Stable,5,6.3,4.5,8.5,6,8.5,5.6,5.9,3.3,6.2,4.4,7.9,,,,,,4.5
Moldova,2017,98th,72,45.1,Stable,6.1,8.3,7.3,6.4,4.8,6.6,6.6,4.9,4.9,4.8,3.9,7.4,2.6,4.7,6.3,2.9,4,7
Paraguay,2017,99th,71.6,44.6,Stable,6.6,7.8,5.8,5,7.9,5.8,7,6.2,5.9,5.7,3.1,4.8,5.2,4,3.7,3.4,7.4,6
Guyana,2017,100th,71.3,44,Stable,6.4,5.1,6.7,6,5.7,9.4,5.4,6.2,3.5,5.8,3.8,7.3,2.7,4.8,,2.7,,6.4
Saudi Arabia,2017,101st,71.2,43.5,Stable,6.3,8.2,7.8,4.5,5,3.8,8,3.8,9.1,5.3,4.7,4.7,5.3,2.8,5.2,6,8,7.5
Armenia,2017,102nd,71,42.9,Stable,5.5,7.4,6.1,6.3,4.5,6.2,7.6,3.6,7,3.1,7,6.7,3.3,3.4,6,2.9,5.3,5.6
Namibia,2017,103rd,70.4,42.3,Stable,5.5,3.5,5.8,6.8,8.2,7.1,3.3,7.4,3.8,7.6,5,6.4,3.6,3.8,4.6,1.5,5.9,6
Peru,2017,104th,70.3,41.8,Stable,7.1,6.9,7.4,3.2,7.4,7.3,7.2,6.7,4.3,5,4.3,3.5,6.5,2.4,4.6,3,6.1,7.6
Vietnam,2017,105th,70.2,41.2,Stable,4.6,6.9,6,5.1,5,6.2,8.3,4.7,7.4,6.1,4.7,5.2,4.8,3.9,5,7.4,4.5,6.2
Cabo Verde,2017,106th,70.1,40.6,Stable,5.4,5.5,4.1,5.2,7.1,8,5.3,6,4,7.2,4.2,8.1,,4.1,,2,,4.1
Serbia,2017,107th,70,40.1,Stable,5.5,8,7.3,6.4,4.8,5.3,5.2,4.2,4.4,4.3,8.4,6.2,3.8,4.1,5.1,2.8,5.6,7.8
Ghana,2017,108th,69.7,39.5,Stable,3.8,5.2,4.4,6.1,6.6,8.2,4.2,7.8,5.1,6.6,5,6.7,3.3,3.7,4.8,1.8,6.5,4.6
Dominican Republic,2017,109th,69,38.9,Stable,5.8,6.2,5.8,5.5,5.8,7.1,5.5,6.3,5.8,6.5,3.3,5.4,4.6,2.3,3.8,2.8,6.6,6
Brazil,2017,110th,68.2,38.4,Stable,6.7,4.9,6.2,4.8,7.8,4.6,6.2,6.4,6.4,8.1,2.8,3.3,6.7,2.6,3.2,3.3,7,5.7
Samoa,2017,111th,67.1,37.8,Stable,4.7,5.1,4.5,6.3,4.9,9.5,5.5,4.9,4.1,5.7,2.7,9.2,,,,1.9,,4.5
Macedonia,2017,112th,66.1,37.2,Stable,5.6,7.3,6.9,5.8,5.2,5.2,5.8,3.9,3.8,3.3,7.3,6,4,4,5.9,3.6,3.5,7.1
Kazakhstan,2017,113th,65.9,36.1,Stable,5.2,7.6,7.6,6.4,4.2,3.6,8.3,4,7.3,4.5,3,4.2,5.8,4.8,5.1,5.5,4.2,7.3
Suriname,2017,113th,65.9,36.1,Stable,4.9,5.8,5.8,7.1,6.1,6.8,5,5.6,4.6,5.3,3,5.9,,3.1,4.1,1.7,6.7,5.8
Belize,2017,115th,65.5,35.5,Stable,6.4,4.3,4.1,6.7,5.4,6.6,5.2,5.9,4.7,5.1,3.6,7.5,,4.9,4.4,2.1,4.9,4.1
Malaysia,2017,116th,65.4,35,Stable,6.3,6.8,6.5,3.1,5,5,7.7,4.2,8,5.3,3.7,3.8,6.2,3.1,5.8,4.7,4.1,6.7
Jamaica,2017,117th,65.2,34.4,Stable,6.9,3.7,3.4,6.9,5.1,8.4,4.8,6.4,5.5,5.2,3.1,5.8,4.2,2.9,3.5,1.2,7.2,3.6
Bahrain,2017,118th,64.9,33.8,Stable,6.9,7.6,8.4,3.8,4.6,3.5,8.2,1.8,8.8,4.1,2.4,4.8,5.2,3,4.8,5.5,7.5,7.9
Cuba,2017,119th,64.6,33.3,Stable,5.2,7,4,4,5.4,5.2,7.6,4.1,7.5,5.5,4,5.1,4.9,3,,7,,4.2
Botswana,2017,120th,63.8,32.7,Stable,4.1,3.3,4.9,5.8,7.8,5.5,3.3,7.3,5,8.2,4.5,4.1,5.9,3.6,4.3,2.3,6.6,5.1
Cyprus,2017,121st,62.6,32.2,Stable,4.4,7.9,6.3,6,5.9,4,4.8,2.5,3,3.5,5.3,9,1,2.7,4.7,1.8,6.1,6.5
Brunei Darussalam,2017,122nd,61.6,31.6,Stable,5.1,7.4,5.9,3.5,7.8,4.6,8.3,1.8,7.7,3.7,2.2,3.6,,,,5.4,,5.9
Grenada,2017,123rd,61.5,31,Stable,5.7,5.6,3.8,6,4.8,8.4,5.4,3.8,3.2,4.7,3,7.1,,,,,,3.8
Albania,2017,124th,60.5,30.5,Stable,4.7,6.2,4.5,5.4,3.6,7.6,5.7,4,4.8,3.7,3.6,6.7,3.3,3.6,5.1,3,5.3,4.7
Seychelles,2017,125th,59.4,29.9,Stable,6.1,6,4.5,4.1,5.5,5.9,5.5,2.7,3.8,5.1,3.2,7,3,,,3.1,,4.5
Kuwait,2017,126th,58.5,29.3,Stable,4.2,7.8,4.7,3,4.2,3.6,7.2,2.6,7.9,5,3.5,4.8,5.2,3.3,4.3,3.3,7,5.2
Greece,2017,127th,57.5,28.8,Stable,4.5,4.1,5.4,6.5,3.7,3.3,6.7,3.8,3.2,3.7,6.5,6.1,3.9,1.5,5.2,3,4.3,5.1
Trinidad and Tobago,2017,128th,56.7,27.6,Stable,6.3,5.6,4.2,4.4,4.9,8.1,4.5,4.3,4.1,4.5,2.7,3.1,6.9,4.1,3.5,2.3,6.8,4.4
Mongolia,2017,128th,56.7,27.6,Stable,3.6,5.5,3.8,5,6.4,3.3,4,5.4,4.5,5.1,3,7.1,2.9,5.6,4.9,2.8,3,4
Montenegro,2017,130th,55.7,27.1,Stable,4,6.5,7.9,5.2,2.4,4,4.6,3.1,4.1,2.8,4.6,6.5,3.5,3.7,5.4,3.3,5.6,7.6
Antigua and Barbuda,2017,131st,54.8,26.5,Stable,5.7,3.7,3.9,4.5,4.5,6.8,5.4,3.8,4.4,4.1,2.7,5.3,,,,2.1,,3.9
Bulgaria,2017,132nd,53.7,25.9,Stable,4.3,5.3,5.1,5.7,4.4,4.2,4.5,4.4,3.3,3.7,4.5,4.3,5.7,2.8,5.1,3.4,2.6,5.3
Oman,2017,133rd,52.5,25.4,Stable,4.2,6.6,2.9,4.1,4.6,2.5,6.8,3.5,7.7,4.8,2.5,2.3,7.7,4.8,,4,,3.1
"Bahamas, The",2017,134th,52.4,24.8,Sustainable,4.6,4.5,4.1,4.8,4.5,4.7,3.8,4.6,3.6,6.9,2.6,3.7,,,,,,4.1
Hungary,2017,135th,52,24.2,Sustainable,2.7,5.3,4.8,5.4,3.8,3.3,6.1,3.2,5.2,1.8,6.5,3.9,6.1,2,4.9,2.8,2.8,5
Romania,2017,136th,50.9,23.7,Sustainable,3,5.4,6.8,4.7,4.2,4.5,5.2,3.8,3.7,3.2,2.8,3.6,6.4,2.9,6.1,2.4,2.5,7
Panama,2017,137th,50.7,23.1,Sustainable,5.4,2.2,5.6,2.6,7.4,4.6,3.2,4.8,4.3,4.9,3,2.7,7.3,2.5,3.7,3.1,5.7,5.3
Croatia,2017,138th,50.6,22.5,Sustainable,3.5,4.4,5.8,5.3,3.3,4.7,2.9,2.4,3.6,3.1,7,4.6,5.4,2,5.5,2.8,3.4,6
Barbados,2017,139th,49.6,22,Sustainable,4.4,4.2,4.1,5.9,4.6,5.4,2.5,2.7,2.9,4.4,2.5,6,4,4.3,,,,4.1
Argentina,2017,140th,48.2,21.4,Sustainable,4.3,2.8,5,4.3,5.4,3,4.8,3.8,4.1,3.8,2.3,4.6,5.4,3.2,2.8,2.5,7.4,4.7
Latvia,2017,141st,46.4,20.9,Sustainable,3,4.3,8,3.5,4.1,4.8,3.4,2.9,2.8,2.9,2.8,3.9,6.1,1.4,5.5,1.7,2.2,7.7
Italy,2017,142nd,45.2,20.3,Sustainable,4.5,4.9,4.8,5.4,2.9,2,3.7,2.7,2,4.3,5.5,2.5,7.5,1,3.6,2.9,6.3,5
Estonia,2017,143rd,44.7,19.7,Sustainable,3.3,5.9,7.3,3.5,3.2,4,2.7,2.9,1.7,2.8,3.1,4.3,5.7,1.9,5,1.4,2.7,6.8
Slovakia,2017,144th,44.3,19.2,Sustainable,1.8,4.7,6.9,4.6,3.5,4.2,4.3,2.4,2.5,2.3,3.8,3.3,6.7,2,5,1.3,2.3,6.5
Costa Rica,2017,145th,44.1,18.6,Sustainable,3.6,3.8,4.2,4,5.3,4.1,2.4,3.9,1.5,3.3,3.9,4.1,5.9,2.5,3,1.1,6.7,4.4
Qatar,2017,146th,44,18,Sustainable,2.6,5,4.6,2.1,4.7,2.6,6.3,1.3,6.3,3.8,2,2.7,7.3,2.7,3.9,3.6,8,4.6
United Arab Emirates,2017,147th,43.7,17.5,Sustainable,3.1,3.6,3.4,2.4,3.4,2.5,6.7,2.2,7.8,4,2.2,2.4,7.6,2.4,3.7,3.7,9.1,3.6
Mauritius,2017,148th,41.7,16.3,Sustainable,2.3,3.2,3.6,4,3.5,4.4,3,3.3,3.4,3.6,2.7,4.7,5.3,3.5,3.4,2.8,7.3,3.8
Lithuania,2017,148th,41.7,16.3,Sustainable,3.1,3,4.4,4.5,4.5,4.4,2.7,3.5,2.5,2.8,2.3,4,6,2.2,4.7,2,2.9,4.6
Chile,2017,150th,41.1,15.8,Sustainable,3.2,2.2,3.6,3.2,5.7,3.8,3.3,4,3,4.9,2.1,2.1,7.9,1.6,2.7,1.9,7,3.8
